servicio,fecha,usuario,calificacion
2386,54:36.7,9,5
5685,54:36.7,9,2
3089,54:36.7,9,2
4873,54:36.7,9,2
1110,54:36.7,9,4
4238,54:36.7,9,1
3042,54:36.7,9,1
3546,54:36.7,9,4
2187,54:36.7,9,5
2487,54:36.7,9,3
5280,54:36.7,9,2
689,54:36.7,9,1
961,54:36.7,9,3
3243,54:36.7,9,2
899,54:36.7,10,1
4613,54:36.7,10,5
5120,54:36.7,10,5
4753,54:36.7,10,3
5712,54:36.7,10,1
592,54:36.7,10,2
1633,54:36.7,10,5
2401,54:36.7,10,4
3702,54:36.7,10,2
2923,54:36.7,10,4
4575,54:36.7,10,4
3284,54:36.7,10,5
2112,54:36.7,10,1
1484,54:36.7,10,2
4603,54:36.7,10,2
1597,54:36.7,10,4
5803,54:36.7,10,4
3668,54:36.7,10,5
2247,54:36.7,10,5
3060,54:36.7,10,4
3964,54:36.7,11,5
5225,54:36.7,11,1
1049,54:36.7,11,2
1750,54:36.7,11,2
266,54:36.7,11,5
3501,54:36.7,11,5
74,54:36.7,11,5
5051,54:36.7,11,5
2456,54:36.7,11,3
3499,54:36.7,11,5
1578,54:36.7,11,1
4225,54:36.7,11,5
3077,54:36.7,11,3
3435,54:36.7,11,5
1175,54:36.7,11,3
256,54:36.7,11,5
3249,54:36.7,11,2
5091,54:36.7,11,5
4048,54:36.7,11,3
4826,54:36.7,11,5
5462,54:36.7,12,4
1883,54:36.7,12,3
4730,54:36.7,12,2
1789,54:36.7,12,5
4962,54:36.7,12,2
3956,54:36.7,12,1
4759,54:36.7,12,2
1710,54:36.7,12,4
5655,54:36.7,12,3
2028,54:36.7,12,3
5372,54:36.7,12,3
1300,54:36.7,12,3
5353,54:36.7,12,2
5732,54:36.7,12,5
4630,54:36.7,12,1
4459,54:36.7,12,2
2118,54:36.7,12,5
5746,54:36.7,12,4
4125,54:36.7,12,1
1735,54:36.7,12,1
570,54:36.7,13,3
1518,54:36.7,13,3
2067,54:36.7,13,3
2306,54:36.7,13,3
2177,54:36.7,13,2
307,54:36.7,13,3
3878,54:36.7,13,5
1903,54:36.7,13,1
1297,54:36.7,13,5
1323,54:36.7,13,2
3963,54:36.7,13,2
851,54:36.7,13,1
1018,54:36.7,13,5
2712,54:36.7,13,2
5660,54:36.7,13,3
1489,54:36.7,13,2
1868,54:36.7,13,4
4180,54:36.7,13,5
2123,54:36.7,13,1
653,54:36.7,13,2
388,54:36.7,14,2
3372,54:36.7,14,5
3992,54:36.7,14,3
5062,54:36.7,14,1
2064,54:36.7,14,4
4047,54:36.7,14,3
2151,54:36.7,14,4
4391,54:36.7,14,1
1259,54:36.7,14,5
855,54:36.7,14,5
1745,54:36.7,14,2
4699,54:36.7,14,2
4914,54:36.7,14,5
400,54:36.7,14,3
373,54:36.7,14,1
1386,54:36.7,14,2
2011,54:36.7,14,1
4565,54:36.7,14,1
670,54:36.7,14,2
2882,54:36.7,14,4
3999,54:36.7,15,1
3967,54:36.7,15,2
2082,54:36.7,15,2
5768,54:36.7,15,3
1762,54:36.7,15,3
3067,54:36.7,15,3
2117,54:36.7,15,1
3529,54:36.7,15,4
1730,54:36.7,15,2
5143,54:36.7,15,5
4188,54:36.7,15,2
4806,54:36.7,15,3
2758,54:36.7,15,1
2300,54:36.7,15,3
2864,54:36.7,15,4
5372,54:36.7,15,3
4041,54:36.7,15,1
717,54:36.7,15,1
599,54:36.7,15,2
2889,54:36.7,15,4
3487,54:36.7,16,3
3474,54:36.7,16,5
862,54:36.7,16,3
2816,54:36.7,16,4
3158,54:36.7,16,2
23,54:36.7,16,2
3046,54:36.7,16,5
939,54:36.7,16,5
3777,54:36.7,16,2
4163,54:36.7,16,3
4471,54:36.7,16,5
2137,54:36.7,16,3
3565,54:36.7,16,1
5642,54:36.7,16,3
460,54:36.7,16,3
5077,54:36.7,16,2
2243,54:36.7,16,3
1662,54:36.7,16,2
3805,54:36.7,16,5
50,54:36.7,16,5
4617,54:36.7,17,2
2531,54:36.7,17,2
1558,54:36.7,17,2
2695,54:36.7,17,2
4794,54:36.7,17,1
2691,54:36.7,17,1
417,54:36.7,17,3
2247,54:36.7,17,5
2816,54:36.7,17,2
605,54:36.7,17,4
3276,54:36.7,17,1
4907,54:36.7,17,4
3878,54:36.7,17,1
4027,54:36.7,17,2
4998,54:36.7,17,3
2716,54:36.7,17,1
4410,54:36.7,17,5
4428,54:36.7,17,5
1555,54:36.7,17,3
2852,54:36.7,17,1
3632,54:36.7,18,1
1148,54:36.7,18,3
5800,54:36.7,18,3
4722,54:36.7,18,5
1126,54:36.7,18,5
4216,54:36.7,18,5
4242,54:36.7,18,5
533,54:36.7,18,3
4070,54:36.7,18,4
4759,54:36.7,18,3
2263,54:36.7,18,1
5413,54:36.7,18,3
2857,54:36.7,18,5
763,54:36.7,18,5
2751,54:36.7,18,2
5541,54:36.7,18,5
1495,54:36.7,18,1
1586,54:36.7,18,4
3448,54:36.7,18,3
1326,54:36.7,18,4
2825,54:36.7,19,3
3112,54:36.7,19,3
420,54:36.7,19,3
275,54:36.7,19,2
940,54:36.8,19,3
5509,54:36.8,19,1
5058,54:36.8,19,1
4994,54:36.8,19,1
3141,54:36.8,19,1
572,54:36.8,19,1
4920,54:36.8,19,1
3389,54:36.8,19,2
2826,54:36.8,19,5
2640,54:36.8,19,3
1722,54:36.8,19,5
583,54:36.8,19,3
629,54:36.8,19,2
4719,54:36.8,19,2
2893,54:36.8,19,1
1188,54:36.8,19,3
4825,54:36.8,20,1
4821,54:36.8,20,2
3064,54:36.8,20,5
1928,54:36.8,20,4
4247,54:36.8,20,1
114,54:36.8,20,3
5558,54:36.8,20,3
1830,54:36.8,20,3
3544,54:36.8,20,5
5595,54:36.8,20,4
3292,54:36.8,20,1
5140,54:36.8,20,1
2291,54:36.8,20,4
5810,54:36.8,20,5
3347,54:36.8,20,3
1326,54:36.8,20,4
2475,54:36.8,20,3
1726,54:36.8,20,2
3085,54:36.8,20,1
374,54:36.8,20,3
1198,54:36.8,21,1
5205,54:36.8,21,3
5298,54:36.8,21,2
1653,54:36.8,21,4
2249,54:36.8,21,4
3685,54:36.8,21,1
3301,54:36.8,21,1
188,54:36.8,21,5
2257,54:36.8,21,4
5233,54:36.8,21,2
338,54:36.8,21,2
1909,54:36.8,21,2
3478,54:36.8,21,2
5615,54:36.8,21,5
3487,54:36.8,21,4
3615,54:36.8,21,3
1754,54:36.8,21,4
4024,54:36.8,21,4
702,54:36.8,21,2
3883,54:36.8,21,4
1809,54:36.8,22,1
1905,54:36.8,22,2
1981,54:36.8,22,2
5685,54:36.8,22,4
54,54:36.8,22,2
1760,54:36.8,22,5
3877,54:36.8,22,5
4530,54:36.8,22,1
236,54:36.8,22,5
5599,54:36.8,22,2
931,54:36.8,22,2
367,54:36.8,22,2
3639,54:36.8,22,4
4113,54:36.8,22,1
4765,54:36.8,22,4
2375,54:36.8,22,4
2605,54:36.8,22,1
5751,54:36.8,22,1
4613,54:36.8,22,3
4626,54:36.8,22,4
4720,54:36.8,23,5
1413,54:36.8,23,4
916,54:36.8,23,1
5707,54:36.8,23,1
1097,54:36.8,23,3
1381,54:36.8,23,1
5167,54:36.8,23,1
1120,54:36.8,23,4
2350,54:36.8,23,4
5194,54:36.8,23,1
1191,54:36.8,23,4
681,54:36.8,23,5
863,54:36.8,23,5
793,54:36.8,23,5
504,54:36.8,23,1
3054,54:36.8,23,2
352,54:36.8,23,4
4468,54:36.8,23,5
5816,54:36.8,23,5
2841,54:36.8,23,1
998,54:36.8,24,2
890,54:36.8,24,5
3861,54:36.8,24,1
1154,54:36.8,24,1
3631,54:36.8,24,3
3053,54:36.8,24,5
479,54:36.8,24,3
1867,54:36.8,24,4
3995,54:36.8,24,3
368,54:36.8,24,4
2255,54:36.8,24,5
666,54:36.8,24,4
3240,54:36.8,24,4
2643,54:36.8,24,2
4387,54:36.8,24,2
4803,54:36.8,24,1
613,54:36.8,24,2
3305,54:36.8,24,2
461,54:36.8,24,1
5045,54:36.8,24,5
1236,54:36.8,25,3
4382,54:36.8,25,5
4772,54:36.8,25,2
1318,54:36.8,25,1
1177,54:36.8,25,4
3513,54:36.8,25,4
4923,54:36.8,25,3
1510,54:36.8,25,5
4587,54:36.8,25,1
4132,54:36.8,25,5
5232,54:36.8,25,2
3432,54:36.8,25,4
2737,54:36.8,25,3
5271,54:36.8,25,4
387,54:36.8,25,1
2433,54:36.8,25,3
4437,54:36.8,25,1
3810,54:36.8,25,2
547,54:36.8,25,4
3770,54:36.8,25,3
1933,54:36.8,26,3
3781,54:36.8,26,2
3742,54:36.8,26,3
1095,54:36.8,26,4
4090,54:36.8,26,1
1435,54:36.8,26,2
4757,54:36.8,26,1
1744,54:36.8,26,3
761,54:36.8,26,1
5493,54:36.8,26,1
5059,54:36.8,26,4
3241,54:36.8,26,2
1768,54:36.8,26,2
2344,54:36.8,26,2
2855,54:36.8,26,4
3565,54:36.8,26,5
1342,54:36.8,26,4
3320,54:36.8,26,1
2065,54:36.8,26,4
5356,54:36.8,26,2
4379,54:36.8,27,4
4558,54:36.8,27,2
2698,54:36.8,27,2
3148,54:36.8,27,2
4185,54:36.8,27,1
3049,54:36.8,27,4
3664,54:36.8,27,2
3577,54:36.8,27,3
3784,54:36.8,27,1
805,54:36.8,27,2
2800,54:36.8,27,1
3999,54:36.8,27,4
652,54:36.8,27,5
2201,54:36.8,27,2
1081,54:36.8,27,1
4199,54:36.8,27,5
3578,54:36.8,27,1
5356,54:36.8,27,3
3636,54:36.8,27,2
4309,54:36.8,27,1
191,54:36.8,28,1
2292,54:36.8,28,4
3665,54:36.8,28,3
1626,54:36.8,28,1
4229,54:36.8,28,4
3994,54:36.8,28,3
3159,54:36.8,28,5
5470,54:36.8,28,1
1935,54:36.8,28,3
1822,54:36.8,28,3
5006,54:36.8,28,2
229,54:36.8,28,5
3502,54:36.8,28,1
4248,54:36.8,28,3
5410,54:36.8,28,3
2969,54:36.8,28,3
4695,54:36.8,28,4
4620,54:36.8,28,3
1723,54:36.8,28,2
483,54:36.8,28,5
2886,54:36.8,29,3
4828,54:36.8,29,1
2263,54:36.8,29,4
4157,54:36.8,29,3
5188,54:36.8,29,1
1589,54:36.8,29,1
1788,54:36.8,29,3
5230,54:36.8,29,3
1169,54:36.8,29,3
2542,54:36.8,29,5
5037,54:36.8,29,1
3902,54:36.8,29,3
796,54:36.8,29,3
966,54:36.8,29,1
3389,54:36.8,29,5
1957,54:36.8,29,3
2987,54:36.8,29,3
2367,54:36.8,29,4
1654,54:36.8,29,5
1781,54:36.8,29,2
396,54:36.8,30,1
761,54:36.8,30,5
236,54:36.8,30,4
2033,54:36.8,30,1
1311,54:36.8,30,2
3999,54:36.8,30,1
1720,54:36.8,30,5
1961,54:36.8,30,1
2748,54:36.8,30,2
4582,54:36.8,30,2
5006,54:36.8,30,3
1613,54:36.8,30,5
3031,54:36.8,30,4
4243,54:36.8,30,4
5678,54:36.8,30,4
14,54:36.8,30,5
576,54:36.8,30,5
1078,54:36.8,30,4
4649,54:36.8,30,5
699,54:36.8,30,2
4290,54:36.8,31,4
857,54:36.8,31,5
5252,54:36.8,31,3
622,54:36.8,31,5
5113,54:36.8,31,3
1648,54:36.8,31,5
1991,54:36.8,31,2
3178,54:36.8,31,4
3410,54:36.8,31,5
790,54:36.8,31,2
1496,54:36.8,31,5
5385,54:36.8,31,4
4003,54:36.8,31,1
690,54:36.8,31,4
2412,54:36.8,31,3
834,54:36.8,31,2
1828,54:36.8,31,3
2564,54:36.8,31,1
1486,54:36.8,31,3
12,54:36.8,31,5
585,54:36.8,32,3
762,54:36.8,32,5
2691,54:36.8,32,5
5118,54:36.8,32,4
226,54:36.8,32,5
4904,54:36.8,32,3
1266,54:36.8,32,2
2817,54:36.8,32,1
610,54:36.8,32,1
1468,54:36.8,32,3
413,54:36.8,32,3
526,54:36.8,32,5
5130,54:36.8,32,5
4863,54:36.8,32,2
1751,54:36.8,32,3
3456,54:36.8,32,2
2529,54:36.8,32,3
3266,54:36.8,32,1
5289,54:36.8,32,5
3756,54:36.8,32,5
417,54:36.8,33,2
2676,54:36.8,33,1
320,54:36.8,33,5
1487,54:36.8,33,2
2882,54:36.8,33,3
2928,54:36.8,33,2
6,54:36.8,33,4
4729,54:36.8,33,5
1627,54:36.8,33,1
5395,54:36.8,33,5
4256,54:36.8,33,3
3492,54:36.8,33,2
4601,54:36.8,33,3
3456,54:36.8,33,1
2874,54:36.8,33,3
4033,54:36.8,33,4
2940,54:36.8,33,1
186,54:36.8,33,2
777,54:36.8,33,5
2207,54:36.8,33,3
621,54:36.8,34,5
4227,54:36.8,34,2
5228,54:36.8,34,4
5566,54:36.8,34,1
4409,54:36.8,34,3
459,54:36.8,34,3
3890,54:36.8,34,2
2461,54:36.8,34,1
4849,54:36.8,34,3
1934,54:36.8,34,1
4636,54:36.8,34,1
5006,54:36.8,34,2
2881,54:36.8,34,4
2104,54:36.8,34,1
2525,54:36.8,34,2
520,54:36.8,34,1
4321,54:36.8,34,4
4190,54:36.8,34,5
176,54:36.8,34,1
1192,54:36.8,34,5
1026,54:36.8,35,1
1990,54:36.8,35,1
2108,54:36.8,35,4
2320,54:36.8,35,4
5717,54:36.8,35,4
3676,54:36.8,35,4
1244,54:36.8,35,2
4767,54:36.8,35,1
4416,54:36.8,35,3
1424,54:36.8,35,4
371,54:36.9,35,3
1436,54:36.9,35,2
3216,54:36.9,35,5
4156,54:36.9,35,4
3088,54:36.9,35,5
3400,54:36.9,35,3
3604,54:36.9,35,4
4667,54:36.9,35,4
1600,54:36.9,35,4
3301,54:36.9,35,2
3704,54:36.9,36,3
5032,54:36.9,36,3
350,54:36.9,36,1
1434,54:36.9,36,1
2450,54:36.9,36,3
613,54:36.9,36,1
3300,54:36.9,36,3
4821,54:36.9,36,1
2781,54:36.9,36,1
5481,54:36.9,36,1
1918,54:36.9,36,4
1,54:36.9,36,1
5439,54:36.9,36,5
800,54:36.9,36,5
3518,54:36.9,36,5
5487,54:36.9,36,5
3498,54:36.9,36,5
4213,54:36.9,36,1
5570,54:36.9,36,4
3292,54:36.9,36,4
577,54:36.9,37,1
5126,54:36.9,37,4
3034,54:36.9,37,5
778,54:36.9,37,4
111,54:36.9,37,3
5274,54:36.9,37,3
3576,54:36.9,37,4
3906,54:36.9,37,4
3939,54:36.9,37,3
2086,54:36.9,37,4
3245,54:36.9,37,4
5151,54:36.9,37,2
2737,54:36.9,37,4
2425,54:36.9,37,2
3988,54:36.9,37,5
1928,54:36.9,37,3
4113,54:36.9,37,1
1619,54:36.9,37,2
2501,54:36.9,37,2
1046,54:36.9,37,1
1842,54:36.9,38,2
628,54:36.9,38,4
3442,54:36.9,38,4
5124,54:36.9,38,3
4973,54:36.9,38,2
3096,54:36.9,38,3
1144,54:36.9,38,4
5111,54:36.9,38,3
15,54:36.9,38,5
3427,54:36.9,38,1
5020,54:36.9,38,5
1151,54:36.9,38,2
2465,54:36.9,38,2
5727,54:36.9,38,5
1949,54:36.9,38,3
4789,54:36.9,38,2
1796,54:36.9,38,5
3509,54:36.9,38,1
5010,54:36.9,38,5
1410,54:36.9,38,2
3499,54:36.9,39,4
4962,54:36.9,39,2
1602,54:36.9,39,3
876,54:36.9,39,4
2982,54:36.9,39,2
4178,54:36.9,39,5
1762,54:36.9,39,1
1321,54:36.9,39,3
291,54:36.9,39,1
2606,54:36.9,39,1
3385,54:36.9,39,2
366,54:36.9,39,4
3252,54:36.9,39,1
684,54:36.9,39,3
4748,54:36.9,39,4
390,54:36.9,39,3
855,54:36.9,39,2
4505,54:36.9,39,3
1123,54:36.9,39,5
4296,54:36.9,39,3
4674,54:36.9,40,5
5515,54:36.9,40,3
4726,54:36.9,40,4
4873,54:36.9,40,2
3965,54:36.9,40,4
1243,54:36.9,40,4
5342,54:36.9,40,1
116,54:36.9,40,1
5383,54:36.9,40,3
3923,54:36.9,40,3
1464,54:36.9,40,2
2250,54:36.9,40,3
1269,54:36.9,40,2
2154,54:36.9,40,4
1240,54:36.9,40,2
1800,54:36.9,40,5
5492,54:36.9,40,1
2965,54:36.9,40,1
5335,54:36.9,40,2
2825,54:36.9,40,1
2793,54:36.9,41,4
1594,54:36.9,41,5
1030,54:36.9,41,5
1779,54:36.9,41,1
4786,54:36.9,41,2
5821,54:36.9,41,3
3786,54:36.9,41,4
2907,54:36.9,41,2
294,54:36.9,41,3
352,54:36.9,41,5
4943,54:36.9,41,5
5302,54:36.9,41,1
4949,54:36.9,41,3
293,54:36.9,41,4
1005,54:36.9,41,4
652,54:36.9,41,1
5080,54:36.9,41,5
3936,54:36.9,41,2
3230,54:36.9,41,2
698,54:36.9,41,1
229,54:36.9,42,5
1522,54:36.9,42,1
3319,54:36.9,42,4
4337,54:36.9,42,2
459,54:36.9,42,2
978,54:36.9,42,5
5495,54:36.9,42,1
4774,54:36.9,42,5
4344,54:36.9,42,1
3526,54:36.9,42,2
2481,54:36.9,42,2
3157,54:36.9,42,4
3864,54:36.9,42,4
691,54:36.9,42,1
1496,54:36.9,42,3
3071,54:36.9,42,3
4344,54:36.9,42,1
4569,54:36.9,42,1
5202,54:36.9,42,3
4142,54:36.9,42,3
5695,54:36.9,43,3
2487,54:36.9,43,3
427,54:36.9,43,5
440,54:36.9,43,4
5274,54:36.9,43,1
5257,54:36.9,43,1
2421,54:36.9,43,4
588,54:36.9,43,2
1427,54:36.9,43,2
850,54:36.9,43,1
4559,54:36.9,43,3
2976,54:36.9,43,4
2977,54:36.9,43,4
1336,54:36.9,43,5
1832,54:36.9,43,4
4014,54:36.9,43,1
4669,54:36.9,43,3
2389,54:36.9,43,1
2231,54:36.9,43,4
535,54:36.9,43,1
3151,54:36.9,44,5
1447,54:36.9,44,5
194,54:36.9,44,4
5018,54:36.9,44,5
1636,54:36.9,44,3
99,54:36.9,44,5
4963,54:36.9,44,5
570,54:36.9,44,5
475,54:36.9,44,2
1556,54:36.9,44,1
1144,54:36.9,44,5
2846,54:36.9,44,4
4490,54:36.9,44,1
1023,54:36.9,44,1
4679,54:36.9,44,1
3001,54:36.9,44,5
5414,54:36.9,44,5
5812,54:36.9,44,5
1364,54:36.9,44,1
2292,54:36.9,44,3
5166,54:36.9,45,1
4953,54:36.9,45,3
5581,54:36.9,45,1
4629,54:36.9,45,3
3592,54:36.9,45,3
1283,54:36.9,45,5
5673,54:36.9,45,5
1952,54:36.9,45,3
3969,54:36.9,45,5
1912,54:36.9,45,5
3312,54:36.9,45,1
782,54:36.9,45,2
4775,54:36.9,45,3
1125,54:36.9,45,4
5096,54:36.9,45,5
190,54:36.9,45,1
110,54:36.9,45,5
1587,54:36.9,45,2
5526,54:36.9,45,1
2711,54:36.9,45,1
1740,54:36.9,46,5
539,54:36.9,46,1
2767,54:36.9,46,1
57,54:36.9,46,3
3157,54:36.9,46,1
314,54:36.9,46,3
4660,54:36.9,46,3
4200,54:36.9,46,1
1419,54:36.9,46,3
3311,54:36.9,46,2
1873,54:36.9,46,4
2855,54:36.9,46,3
788,54:36.9,46,5
1426,54:36.9,46,4
3814,54:36.9,46,1
1795,54:36.9,46,3
1950,54:36.9,46,1
3324,54:36.9,46,5
2822,54:36.9,46,2
2855,54:36.9,46,3
2552,54:36.9,47,5
3254,54:36.9,47,1
5330,54:36.9,47,1
4046,54:36.9,47,3
296,54:36.9,47,1
2256,54:36.9,47,3
18,54:36.9,47,2
3912,54:36.9,47,1
5596,54:36.9,47,2
150,54:36.9,47,4
4589,54:36.9,47,4
2482,54:36.9,47,1
1542,54:36.9,47,1
3950,54:36.9,47,5
2284,54:36.9,47,4
3619,54:36.9,47,4
5279,54:36.9,47,2
3233,54:36.9,47,4
5406,54:36.9,47,5
2571,54:36.9,47,1
4343,54:36.9,48,1
2871,54:36.9,48,1
341,54:36.9,48,3
1270,54:36.9,48,2
1359,54:36.9,48,1
924,54:36.9,48,1
325,54:36.9,48,5
5756,54:36.9,48,4
5534,54:36.9,48,3
2686,54:36.9,48,2
13,54:36.9,48,4
353,54:36.9,48,1
897,54:36.9,48,4
2620,54:36.9,48,3
2428,54:36.9,48,2
4564,54:36.9,48,2
5767,54:36.9,48,2
3777,54:36.9,48,3
936,54:36.9,48,2
2830,54:36.9,48,1
3470,54:36.9,49,1
3544,54:36.9,49,4
4020,54:36.9,49,5
951,54:36.9,49,2
2982,54:36.9,49,1
5298,54:36.9,49,3
2705,54:36.9,49,4
3717,54:36.9,49,5
2838,54:36.9,49,3
21,54:36.9,49,3
1180,54:36.9,49,3
3791,54:36.9,49,5
3185,54:36.9,49,3
2257,54:36.9,49,4
135,54:36.9,49,4
3510,54:36.9,49,3
4567,54:36.9,49,2
4272,54:36.9,49,2
15,54:37.0,49,4
2506,54:37.0,49,3
378,54:37.0,50,5
367,54:37.0,50,4
1709,54:37.0,50,2
4251,54:37.0,50,4
5526,54:37.0,50,4
3523,54:37.0,50,3
5697,54:37.0,50,5
1463,54:37.0,50,4
5723,54:37.0,50,5
1533,54:37.0,50,2
900,54:37.0,50,2
1750,54:37.0,50,2
1402,54:37.0,50,5
340,54:37.0,50,4
1165,54:37.0,50,3
1899,54:37.0,50,4
1778,54:37.0,50,5
2078,54:37.0,50,3
868,54:37.0,50,1
5736,54:37.0,50,2
3267,54:37.0,51,2
497,54:37.0,51,3
936,54:37.0,51,4
2416,54:37.0,51,2
1555,54:37.0,51,1
1384,54:37.0,51,5
4952,54:37.0,51,3
734,54:37.0,51,5
567,54:37.0,51,5
2023,54:37.0,51,5
2607,54:37.0,51,3
4486,54:37.0,51,1
1981,54:37.0,51,1
2789,54:37.0,51,4
778,54:37.0,51,1
5514,54:37.0,51,2
598,54:37.0,51,4
5811,54:37.0,51,3
678,54:37.0,51,4
1311,54:37.0,51,1
285,54:37.0,52,5
4604,54:37.0,52,2
5653,54:37.0,52,3
1449,54:37.0,52,3
2061,54:37.0,52,4
3385,54:37.0,52,4
4103,54:37.0,52,5
4723,54:37.0,52,5
1125,54:37.0,52,2
699,54:37.0,52,2
3670,54:37.0,52,3
4605,54:37.0,52,3
5587,54:37.0,52,4
186,54:37.0,52,4
3193,54:37.0,52,3
3588,54:37.0,52,1
3965,54:37.0,52,1
3625,54:37.0,52,2
4097,54:37.0,52,3
1554,54:37.0,52,4
3235,54:37.0,53,4
2850,54:37.0,53,1
3932,54:37.0,53,2
2758,54:37.0,53,5
3536,54:37.0,53,5
4546,54:37.0,53,4
2534,54:37.0,53,2
4723,54:37.0,53,2
92,54:37.0,53,3
4858,54:37.0,53,2
4160,54:37.0,53,5
2070,54:37.0,53,5
337,54:37.0,53,4
5823,54:37.0,53,3
929,54:37.0,53,4
4455,54:37.0,53,5
4295,54:37.0,53,5
1085,54:37.0,53,2
5277,54:37.0,53,4
2993,54:37.0,53,4
3941,54:37.0,54,3
5002,54:37.0,54,4
732,54:37.0,54,2
1362,54:37.0,54,3
1968,54:37.0,54,2
4962,54:37.0,54,1
3038,54:37.0,54,2
4480,54:37.0,54,1
638,54:37.0,54,3
4237,54:37.0,54,2
