id,wsdladdress,ipaddress,as
56,http://maps.nsw.gov.au/wsdl/AddressSearch.wsdl,203.57.8.27,AS17668 Soul Pattinson Telecommunications Pty Ltd
57,http://maps.nsw.gov.au/wsdl/AddressImageWS.wsdl,203.57.8.27,AS17668 Soul Pattinson Telecommunications Pty Ltd
58,http://www.myboot.com.au/webservice/shared/galleries/resources.asmx?WSDL,5.9.147.18,null
59,http://www.myboot.com.au/webservice/myboot/suburb/picker.asmx?WSDL,5.9.147.18,null
60,http://www.originalsfestival.com.au/PublicService.asmx?WSDL,null,null
61,http://xml.redcoal.com/soapserver.dll/wsdl/ISoapServer,59.154.43.98,AS7474 SingTel Optus Pty Ltd
62,http://www.stratapay.com.au/ecommservices.asmx?WSDL,61.29.75.116,AS2764 AAPT Limited
63,http://sti.subaru.com.au/templates/global/cfc/banner_home.cfc?wsdl,50.56.52.236,null
64,http://sti.subaru.com.au/templates/global/cfc/banner_showrm.cfc?wsdl,50.56.52.236,null
65,http://direct.tab.com.au/LiveOdds/Services/Racing/Racing.wsdl,72.13.32.43,AS26134 VeriSign Infrastructure & Operations
66,http://direct.tab.com.au/liveodds/services/login/login.wsdl,72.13.32.43,AS26134 VeriSign Infrastructure & Operations
67,http://www.taet.com.au/Web+Service+Agent.nsf/RandomDirectoryWSDL,null,null
68,http://www.taet.com.au/Web+Service+Agent.nsf/DirectoryWSDL,null,null
69,http://staff.it.uts.edu.au/~chw/hellorpc.php?wsdl,54.251.117.70,null
70,http://blackboxlbs.com/BlackBoxWebservice/BlackBoxMiddleTier.asmx?wsdl,null,null
71,http://www.connectingcare.com/webservice/ccereferral.asmx?wsdl,203.94.158.108,AS10223 Uecomm Ltd
72,http://webapp.genexis.com.au/twitterearth/Service.asmx?WSDL,203.98.80.147,AS45152 ASN Zone Networks
73,http://www.golfintelligence.com.au/course.asmx?WSDL,103.4.213.31,null
74,http://engine.grunt.tv/2_1Discover/Discover.asmx?WSDL,203.14.199.246,AS45427 Webzone Internet Internet Service Provider
75,http://hookmeup.com.au/Services/Service.asmx?WSDL,111.67.13.116,AS45454 Web24 Virtual & Dedicated hosting service provider Melb Australia
76,http://sp-s3g.iclp.com.au/ws/egapi/v1-0/egapi.cfc?wsdl,null,null
77,http://www.interpro.com.au/JobsliveWS/RandomJobPicker.asmx?WSDL,203.34.3.7,AS17477 Macquarie Telecom
78,http://www.messagenet.com.au/dotnet/Lodge.asmx?wsdl,202.168.6.30,AS9942 SOUL Converged Communications Australia
79,http://motormouth.net.au/Services/FuelPricingServices.asmx?wsdl,203.39.223.150,AS1221 Telstra Pty Ltd
80,http://www.rugbyleaguelive.com/ContentService.asmx?wsdl,50.16.232.234,AS14618 Amazon.com Inc.
81,http://www.secureparking.com.au/CarsService.asmx?WSDL,27.121.104.110,AS23992 Offis Pty Ltd
82,http://www.smsglobal.com.au/mobileworks/soapserver.php?wsdl,203.89.199.52,AS9328 Datacom Victoria
83,http://www.travelsim.net.au/phpincs/test/travelsim.wsdl,113.192.42.148,null
84,http://webnet.usq.edu.au/USQProgramSearch/AutoCompleteSearch.asmx?WSDL,139.86.7.80,AS7575 Australian Academic and Reasearch Network (AARNet)
85,http://shop.virginvieathome.com/AddToBasketService.asmx?WSDL,194.176.199.129,AS49572 Fujitsu Services Ltd.
86,http://forums.genom-e.com/_vti_bin/BusinessDataCatalog.asmx?wsdl,null,null
87,http://forums.genom-e.com/_vti_bin/SharepointEmailWS.asmx?wsdl,null,null
88,http://forums.genom-e.com/_vti_bin/People.asmx?wsdl,null,null
89,http://forums.genom-e.com/_vti_bin/Authentication.asmx?wsdl,null,null
90,http://almighty.pri.univie.ac.at/~mangler/helloService.wsdl,131.130.70.17,AS760 University of Vienna Austria
91,http://almighty.pri.univie.ac.at/~mangler/ORA/ora.wsdl,131.130.70.17,AS760 University of Vienna Austria
92,http://www.pri.univie.ac.at/~mangler/CEWebS/Homework/,131.130.70.17,AS760 University of Vienna Austria
93,http://www.arikan.at/axis/services/urn:xmltoday-delayed-quotes?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
94,http://www.arikan.at/axis/services/BankService?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
95,http://www.arikan.at/axis/services/CountryService?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
96,http://www.arikan.at/axis/services/Version?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
97,http://www.arikan.at/axis/services/DistrictService?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
98,http://www.arikan.at/axis/services/InsuranceService?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
99,http://www.arikan.at/axis/services/urn:cominfo?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
100,http://www.arikan.at/axis/services/SOAPMonitorService?wsdl,64.15.156.118,AS32613 iWeb Technologies Inc.
101,http://office.faircheck.at/paraTesting/WebService/SVSR_Termin.asmx?WSDL,91.227.204.35,null
102,http://office.faircheck.at/paraTesting/WebService/SVSR_Akt_Lookup.asmx?WSDL,91.227.204.35,null
103,http://olymp.ifs.tuwien.ac.at:8088/SOMTrainer?wsdl,128.130.35.76,AS679 Vienna University of Technology
104,http://olymp.ifs.tuwien.ac.at:8088/AudioFeatureExtractor?wsdl,128.130.35.76,AS679 Vienna University of Technology
105,http://madrid.vitalab.tuwien.ac.at:8152/axis2/services/SkypeWebService?wsdl,128.130.35.76,AS679 Vienna University of Technology
106,http://dconx.biz/messagestest.asmx?WSDL,193.56.137.12,AS15846 Autonomous System
107,http://dconx.biz/messages.asmx?WSDL,193.56.137.12,AS15846 Autonomous System
108,http://dotnet.jku.at/csbook/solutions/19/BookStoreService.asmx?WSDL,140.78.3.160,AS1205 Johannes Kepler University
109,http://dotnet.jku.at/buch/samples/7/simple/TimeService1.asmx?WSDL,140.78.3.160,AS1205 Johannes Kepler University
110,http://dotnet.jku.at/book/samples/7/encoding/PersonService.asmx?WSDL,140.78.3.160,AS1205 Johannes Kepler University
111,http://dotnet.jku.at/book/samples/7/lifecycle/StateDemo.asmx?WSDL,140.78.3.160,AS1205 Johannes Kepler University
112,http://www.elba.at/SOAP/SOAPServer.php?wsdl,null,null
113,http://travel.jet.at/JtrWebService/JtrWebService.asmx?WSDL,94.247.144.176,AS42572 abaton EDV - Dienstleistungs GmbH
114,http://www.allesheute.at/kinoimport/import.asmx?WSDL,212.72.171.211,AS8893 Artfiles New Media GmbH
115,http://www.noe.bauakademie.at/importexport/export.asmx?WSDL,null,null
116,http://limitz.jugendsport.at/wsdl.php?wsdl,null,null
117,http://jukebox.ch/Interpretenliste.asmx?WSDL,193.33.216.10,AS42871 Michael Gamsjaeger
118,http://www.nanonull.com/TimeService/TimeService.asmx?wsdl,62.218.28.242,AS8437 UTA.AT Backbone
119,http://wartung.priso.net/Service1.asmx?WSDL,null,null
120,http://www.calstatela.edu/faculty/jmiller6/cs454-winter2003/notes/sort.wsdl,216.250.121.107 ,AS7296 Alchemy Communications Inc.
121,http://www.bisc.by/blank/WEB.WebServ.CLS?WSDL=1 ,212.98.168.182 belarus,53
122,http://www.g-o.be/_vti_bin/BusinessDataCatalog.asmx?wsdl,null ,null
123,http://www.g-o.be/_vti_bin/People.asmx?wsdl,null,null
124,http://www.g-o.be/_vti_bin/Authentication.asmx?wsdl,null,null
125,http://www.sra.nl/_vti_bin/SharepointEmailWS.asmx?wsdl,213.154.250.200,AS12859 BIT BV
126,http://www.sra.nl/_vti_bin/BusinessDataCatalog.asmx?wsdl,213.154.250.200,AS12859 BIT BV
127,http://www.sra.nl/_vti_bin/People.asmx?wsdl,213.154.250.200,AS12859 BIT BV
128,http://www.sra.nl/_vti_bin/Authentication.asmx?wsdl,213.154.250.200,AS12859 BIT BV
129,http://www.u2u.info/_vti_bin/BusinessDataCatalog.asmx?wsdl,null,null
130,http://www.u2u.info/_vti_bin/People.asmx?wsdl,null,null
131,http://www.u2u.info/_vti_bin/Authentication.asmx?wsdl,null,null
132,http://tomcat.esat.kuleuven.be/axis/services/Version?wsdl,134.58.64.15,AS2611 AS for BELNET The Belgian National Research and Education Network
133,http://ariadne.cs.kuleuven.be/AWS/services/SessionManagementService?wsdl,134.58.64.15,AS2611 AS for BELNET The Belgian National Research and Education Network
134,http://tomcat.esat.kuleuven.be/axis/ToucanSOAPService.jws?wsdl,134.58.64.15,AS2611 AS for BELNET The Belgian National Research and Education Network
135,http://ariadne.cs.kuleuven.ac.be/SQI/wsdl/SessionManagement.wsdl,134.58.64.15,AS2611 AS for BELNET The Belgian National Research and Education Network
136,http://agiv.be/gis/localService.asmx?WSDL,193.190.76.50,AS2611 AS for BELNET The Belgian National Research and Education Network
137,http://jure.juridat.just.fgov.be/PORTALSEARCH/PortalSearchWSSoapHttpPort?WSDL,193.191.245.4,AS2611 AS for BELNET The Belgian National Research and Education Network
138,http://www.idtdna.com/AnalyzerService/AnalyzerService.asmx?WSDL,67.130.12.43,AS209 Qwest Communications Company LLC
139,http://eu.idtdna.com/Ajax/ModService.asmx?wsdl,67.130.12.43,AS209 Qwest Communications Company LLC
140,http://www.vlm.be/_vti_bin/WebPartPages.asmx?WSDL,193.58.158.206,AS2611 AS for BELNET The Belgian National Research and Education Network
141,http://www.ebcs.be/iban/IBANBIC.asmx?WSDL,96.45.82.132,null
142,http://www.ebcs.be/iban/Olo.asmx?WSDL,96.45.82.68,null
143,http://www.ebcs.be/iban/Cijfers.asmx?WSDL,96.45.82.4,null
144,http://www.webservices.etnic.be/ws_libelle/convert_libelle.wsdl,193.190.96.74,AS2611 AS for BELNET The Belgian National Research and Education Network
145,http://www.ibanbic.be/Cijfers.asmx?WSDL,96.45.82.4,null
146,http://www.ibanbic.be/Olo.asmx?WSDL,96.45.82.196,null
147,http://www.ibanbic.be/IBANBIC.asmx?WSDL,96.45.82.132,null
148,http://kbcactions.microsite.be/festivals09/service.asmx?WSDL,null,null
149,http://walibi.microsite.be/hero_service/hero_service.asmx?WSDL,null,null
150,http://mercedesdreamfactory.microsite.be/ws/ws.asmx?WSDL,null,null
151,http://kayak.environnement.wallonie.be/services/WSStationsNL?wsdl,157.164.136.250,AS2611 AS for BELNET The Belgian National Research and Education Network
152,http://www.4allsms.com/sendsms.asmx?WSDL,31.24.112.60,null
153,http://budgetassistant.axionweb.be/service.asmx?WSDL,212.63.233.29,AS25367 For multihomed access of Banque Internationale a Luxembourg In Luxemburg
154,http://staging.blueridge.be/DSXMLSigner/main.asmx?wsdl,null,null
155,http://clacpercussie.be/controls/flashnews/content.asmx?wsdl,46.30.211.60,null
156,http://services.groupes.be/iMobilWebService/iMobilWS.asmx?WSDL,194.7.30.151,AS702 Verizon Business EMEA - Commercial IP service provider in Europe
157,http://www.hotels-europe.com/webservices/General.asmx?WSDL,178.18.80.177,AS35470 XL Network
158,http://www.it-jobbank.co.uk/(A(QUnPf3I7XCdLYI5zAA44K-fQ2fl_9MR1yoaRY_lGCkUIBGbMs4gQe6BkO-dN0Lur9ViHHxr5PupUf1kyw3xbO3CRQS3TyJaeBPkLv8pIZ5U1))/WebServices/JobFeed.asmx?wsdl,81.246.117.104,AS5432 Belgacom regional ASN
159,http://marinespecies.org/aphia.php?p=soap&wsdl=1,193.191.134.5,AS2611 AS for BELNET The Belgian National Research and Education Network
160,http://fe.bcc.proximity.be/WS/BCC_LINK_2008.asmx?WSDL,217.111.147.8,AS8220 COLT Technology Services
161,http://www.spotter.be/Tech/MakeTickerData.asmx?wsdl,212.123.12.136,AS6848 Telenet Operaties N.V.
162,http://www.tiensesuiker.com/service/service.asmx?WSDL,212.113.74.56,AS9166 HostIT Hasselt belgium
163,http://www.vladars.net/_vti_bin/BusinessDataCatalog.asmx?WSDL,80.87.254.4,AS16145 LANACO INECCO ISP
164,http://www.vladars.net/sr-SP-Cyrl/_vti_bin/People.asmx?WSDL,80.87.254.4,AS16145 LANACO INECCO ISP
165,http://www.vladars.net/sr-SP-Cyrl/_vti_bin/Authentication.asmx?WSDL,80.87.254.4,AS16145 LANACO INECCO ISP
166,http://www.blberza.com/services/blse/ticker.asmx?WSDL,null,null
167,http://www.innovatti.com.br/_vti_bin/search.asmx?wsdl,200.212.125.99,AS4230 Embratel
168,http://www.innovatti.com.br/_vti_bin/AreaService.asmx?wsdl,200.212.125.99,AS4230 Embratel
169,http://www.innovatti.com.br/_vti_bin/UserProfileService.asmx?wsdl,200.212.125.99,AS4230 Embratel
170,http://www.innovatti.com.br/_vti_bin/Lists.asmx?wsdl,200.212.125.99,AS4230 Embratel
171,http://seguro.brti.com.br/brtsi/services/ExternalAccountEventWS?wsdl,null,null
172,http://seguro.brti.com.br/brtsi/services/CustomerSearchWS?wsdl,null,null
173,http://desenv.tce.sc.gov.br:8080/axis/WSeO.jws?wsdl,200.19.215.26,AS11802 CIASC
174,http://sistemas.sefaz.ba.gov.br/webservices/CL/wsCFP.asmx?wsdl,null,null
175,http://centros.bvsalud.org/webservices/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
176,http://www.bvsalud.org/apps/basesws/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
177,http://cochrane.bvsalud.org/webservices/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
178,http://hidroweb.ana.gov.br/fcthservices/mma.asmx?WSDL,177.69.158.132,null
179,http://estrela.angeloni.com.br:8888/estrela/ws/jws/PesquisaWS.jws?wsdl,186.251.38.9,null
180,http://estrela.angeloni.com.br:8888/estrela/ws/jws/TesteWS.jws?wsdl,186.251.38.9,null
181,http://www.checkexpress.com.br/ws_office_bacen/registration.asmx?WSDL,200.162.48.134,AS15180 Diveo do Brasil Telecomunicacoes Ltda
182,http://www.comunique-se.com.br/proveDados.asmx?WSDL,200.255.218.70,AS4230 Embratel
183,http://www.comunique-se.com.br/webDistribuidor.asmx?WSDL,200.255.218.70,AS4230 Embratel
184,http://www.sefaz.rs.gov.br/wsPIIFrs/wspiifrs.asmx?WSDL,null,null
185,http://www.scielo.br/webservices/indexBVS.php?wsdl,200.136.72.9,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
186,http://200.140.194.54/wspcceBarranquilla/wspcce.asmx?WSDL,200.140.194.54,AS8167 Telecomunicacoes de Santa Catarina SA
187,http://www.localizaanimal.com.br/wsdl.xml,200.198.194.214,AS10954 Empresa do MinistòAio da Fazenda
188,http://sngpc.anvisa.gov.br/webservice/sngpc.asmx?WSDL,200.198.201.69,AS10954 Empresa do MinistòAio da Fazenda
189,http://bases.bvs.br/webservices/index.php?wsdl,200.10.179.41,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
190,http://www.bibliotecavirtualensalud.org/apps/basesws/index.php?wsdl,null,null
191,http://www.bireme.org/apps/basesws/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
192,http://www.bvsaude.org/apps/basesws/index.php?wsdl,null,null
193,http://www.clearsale.com.br/aplicacao/entrada.asmx?WSDL,98.129.108.201,AS33070 Rackspace Hosting
194,http://cochrane.bireme.br/webservices/index.php?wsdl,200.10.179.18,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
195,http://shopping.correios.com.br/wbm/shopping/script/consultarfrete.asmx?WSDL,200.252.60.80,AS4230 Embratel
196,http://ws.cronostelemetria.com.br/WebServices/Service.asmx?wsdl,97.74.214.1,AS26496 GoDaddy.com Inc.
197,http://www.digimess.com.br/ImportWS/ImportWS.asmx?wsdl,200.234.196.163,AS27715 LocaWeb Ltda
198,http://diretorios.bvs.br/webservices/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
199,http://suporte.infomed.inf.br/desenvtiss/Services/tissTransmiteMensagem.asmx?WSDL,200.249.177.3,AS4230 Embratel
200,http://inf.unisinos.br/~swm/swservice.php?wsdl,200.188.161.160,AS19611 Unisinos
201,http://mercedes-benz.com.br/webservice/WSPalavra.asmx?WSDL,187.86.211.2,AS53070
202,http://www.sicadi.com.br/mhouse/sicadi/webservices/indices.wsdl,187.8.150.202,AS10429 Telefonica Empresas SA
203,http://www.smartwebsuite.net/webservice_meeting.asmx?WSDL,186.202.184.108,null
204,http://www.virtualhealthlibrary.org/apps/basesws/index.php?WSDL,null,null
205,http://intranet.wappa.com.br/WebServices/Taxi.asmx?WSDL,200.225.88.90,AS19089 Dedalus.com S/C Ltda
206,http://www.wmbrasil.com.br/wmlicenca/webservice.asmx?WSDL,174.36.245.169,AS36351 SoftLayer Technologies Inc.
207,http://www.bireme.br/apps/basesws/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
208,http://www.bvs.br/apps/basesws/index.php?wsdl,200.10.179.43,AS1251 Fundacao de Amparo a Pesquisa do Estado de Sao Pau
209,http://www.zap.com.br/imoveis/CascadingDropServiceImoveis.asmx?WSDL,201.20.43.100,AS16397 Comdominio SA
210,http://slk.icentres.net/_vti_bin/BusinessDataCatalog.asmx?wsdl,69.43.161.168,AS22489 Castle Access Inc
211,http://slk.icentres.net/_vti_bin/People.asmx?wsdl,69.43.161.168,AS22489 Castle Access Inc
212,http://slk.icentres.net/_vti_bin/Authentication.asmx?wsdl,69.43.161.168,AS22489 Castle Access Inc
213,http://www.law.uni-sofia.bg/_vti_bin/People.asmx?wsdl,62.44.96.22,AS5421 Sofia University autonomous system
214,http://www.law.uni-sofia.bg/_vti_bin/Authentication.asmx?wsdl,62.44.96.22,AS5421 Sofia University autonomous system
215,http://hs19.iccs.bas.bg/work/soap/books.php?wsdl,null,null
216,http://hs19.iccs.bas.bg/work/nusoap/nusoap.0.7.2/lib/addexample2.php?wsdl,null,null
217,http://www.postbank.bg/TransformationService.asmx?WSDL,195.242.126.251,AS41799 Eurobank EFG bulgaria AD
218,http://biomoby.org/services/wsdl/icapture.ubc.ca/Gene2Ontology,96.49.108.226,AS6327 Shaw Communications Inc.
219,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2NCBI,96.49.108.226,AS6327 Shaw Communications Inc.
220,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINSTADEN2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
221,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINRefNBRF2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
222,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2CLUSTAL,96.49.108.226,AS6327 Shaw Communications Inc.
223,http://biomoby.org/services/wsdl/antirrhinum.net/parseDragonDBBlastText,96.49.108.226,AS6327 Shaw Communications Inc.
224,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAIG2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
225,http://biomoby.org/services/wsdl/atidb.org/getGOTermsByAGICode,96.49.108.226,AS6327 Shaw Communications Inc.
226,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2NBRF,96.49.108.226,AS6327 Shaw Communications Inc.
227,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefFASTA2NCBI,96.49.108.226,AS6327 Shaw Communications Inc.
228,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINTEXT2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
229,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINRefFASTA2PIR,96.49.108.226,AS6327 Shaw Communications Inc.
230,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefFASTA2MSF,96.49.108.226,AS6327 Shaw Communications Inc.
231,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/revseqDNARefFASTA2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
232,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefMEGA2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
233,http://biomoby.org/services/wsdl/bioinfo.icapture.ubc.ca/BIND_IdSearchGetFastaByEnsemblId,96.49.108.226,AS6327 Shaw Communications Inc.
234,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefFASTA2RAW,96.49.108.226,AS6327 Shaw Communications Inc.
235,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINPIR2FASTA,96.49.108.226,AS6327 Shaw Communications Inc.
236,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNAFASTA2IG,96.49.108.226,AS6327 Shaw Communications Inc.
237,http://biomoby.org/services/wsdl/atidb.org/getTargetPResultByTranscriptCode,96.49.108.226,AS6327 Shaw Communications Inc.
238,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretDNARefFASTA2JACKKNIFERNON,96.49.108.226,AS6327 Shaw Communications Inc.
239,http://biomoby.org/services/wsdl/soaplab.icapture.ubc.ca/seqretPROTEINFASTA2GENBANK,96.49.108.226,AS6327 Shaw Communications Inc.
