id,servicio,fecha,usuario,calificacion
104,3900,54:36.7,5,4
105,392,54:36.7,5,3
106,3199,54:36.7,5,2
107,3853,54:36.7,5,1
108,2739,54:36.7,5,5
109,2546,54:36.7,5,2
110,4359,54:36.7,5,5
111,821,54:36.7,5,1
112,2867,54:36.7,5,5
113,1192,54:36.7,5,4
114,5389,54:36.7,5,5
115,548,54:36.7,5,5
116,1328,54:36.7,5,3
117,2822,54:36.7,5,5
118,2484,54:36.7,5,2
119,125,54:36.7,5,3
120,4742,54:36.7,6,5
121,5726,54:36.7,6,1
122,637,54:36.7,6,1
123,1151,54:36.7,6,2
124,5179,54:36.7,6,1
125,1251,54:36.7,6,5
126,284,54:36.7,6,4
127,1676,54:36.7,6,4
128,5012,54:36.7,6,2
129,991,54:36.7,6,5
130,1682,54:36.7,6,1
131,4918,54:36.7,6,4
132,3263,54:36.7,6,3
133,5086,54:36.7,6,1
134,158,54:36.7,6,4
135,2450,54:36.7,6,4
136,3824,54:36.7,6,3
137,2749,54:36.7,6,3
138,1215,54:36.7,6,5
139,3134,54:36.7,6,4
140,4424,54:36.7,7,4
141,1899,54:36.7,7,5
142,5641,54:36.7,7,5
143,2791,54:36.7,7,5
144,5811,54:36.7,7,5
145,4694,54:36.7,7,2
146,1557,54:36.7,7,3
147,5634,54:36.7,7,2
148,1095,54:36.7,7,2
149,2766,54:36.7,7,3
150,3371,54:36.7,7,3
151,5451,54:36.7,7,1
152,5812,54:36.7,7,3
153,63,54:36.7,7,5
154,5419,54:36.7,7,2
155,806,54:36.7,7,3
156,4884,54:36.7,7,4
157,4578,54:36.7,7,5
158,1509,54:36.7,7,3
159,741,54:36.7,7,4
160,5759,54:36.7,8,1
161,2587,54:36.7,8,5
162,5505,54:36.7,8,1
163,2762,54:36.7,8,5
164,471,54:36.7,8,2
165,1917,54:36.7,8,4
166,2873,54:36.7,8,2
167,4158,54:36.7,8,2
168,222,54:36.7,8,3
169,3078,54:36.7,8,1
170,5037,54:36.7,8,4
171,4334,54:36.7,8,1
172,1918,54:36.7,8,5
173,3903,54:36.7,8,5
174,1645,54:36.7,8,4
175,2516,54:36.7,8,1
176,2489,54:36.7,8,5
177,5450,54:36.7,8,1
178,3110,54:36.7,8,1
179,109,54:36.7,8,1
180,4167,54:36.7,9,2
181,3599,54:36.7,9,4
182,2336,54:36.7,9,3
183,3930,54:36.7,9,5
184,917,54:36.7,9,4
185,2097,54:36.7,9,1
186,2386,54:36.7,9,5
187,5685,54:36.7,9,2
188,3089,54:36.7,9,2
189,4873,54:36.7,9,2
190,1110,54:36.7,9,4
191,4238,54:36.7,9,1
192,3042,54:36.7,9,1
193,3546,54:36.7,9,4
194,2187,54:36.7,9,5
195,2487,54:36.7,9,3
196,5280,54:36.7,9,2
197,689,54:36.7,9,1
198,961,54:36.7,9,3
199,3243,54:36.7,9,2
200,899,54:36.7,10,1
201,4613,54:36.7,10,5
202,5120,54:36.7,10,5
203,4753,54:36.7,10,3
204,5712,54:36.7,10,1
205,592,54:36.7,10,2
206,1633,54:36.7,10,5
207,2401,54:36.7,10,4
208,3702,54:36.7,10,2
209,2923,54:36.7,10,4
210,4575,54:36.7,10,4
211,3284,54:36.7,10,5
212,2112,54:36.7,10,1
213,1484,54:36.7,10,2
214,4603,54:36.7,10,2
215,1597,54:36.7,10,4
216,5803,54:36.7,10,4
217,3668,54:36.7,10,5
218,2247,54:36.7,10,5
219,3060,54:36.7,10,4
220,3964,54:36.7,11,5
221,5225,54:36.7,11,1
222,1049,54:36.7,11,2
223,1750,54:36.7,11,2
224,266,54:36.7,11,5
225,3501,54:36.7,11,5
226,74,54:36.7,11,5
227,5051,54:36.7,11,5
228,2456,54:36.7,11,3
229,3499,54:36.7,11,5
230,1578,54:36.7,11,1
231,4225,54:36.7,11,5
232,3077,54:36.7,11,3
233,3435,54:36.7,11,5
234,1175,54:36.7,11,3
235,256,54:36.7,11,5
236,3249,54:36.7,11,2
237,5091,54:36.7,11,5
238,4048,54:36.7,11,3
239,4826,54:36.7,11,5
240,5462,54:36.7,12,4
241,1883,54:36.7,12,3
242,4730,54:36.7,12,2
243,1789,54:36.7,12,5
244,4962,54:36.7,12,2
245,3956,54:36.7,12,1
246,4759,54:36.7,12,2
247,1710,54:36.7,12,4
248,5655,54:36.7,12,3
249,2028,54:36.7,12,3
250,5372,54:36.7,12,3
251,1300,54:36.7,12,3
252,5353,54:36.7,12,2
253,5732,54:36.7,12,5
254,4630,54:36.7,12,1
255,4459,54:36.7,12,2
256,2118,54:36.7,12,5
257,5746,54:36.7,12,4
258,4125,54:36.7,12,1
259,1735,54:36.7,12,1
260,570,54:36.7,13,3
261,1518,54:36.7,13,3
262,2067,54:36.7,13,3
263,2306,54:36.7,13,3
264,2177,54:36.7,13,2
265,307,54:36.7,13,3
266,3878,54:36.7,13,5
267,1903,54:36.7,13,1
268,1297,54:36.7,13,5
269,1323,54:36.7,13,2
270,3963,54:36.7,13,2
271,851,54:36.7,13,1
272,1018,54:36.7,13,5
273,2712,54:36.7,13,2
274,5660,54:36.7,13,3
275,1489,54:36.7,13,2
276,1868,54:36.7,13,4
277,4180,54:36.7,13,5
278,2123,54:36.7,13,1
279,653,54:36.7,13,2
280,388,54:36.7,14,2
281,3372,54:36.7,14,5
282,3992,54:36.7,14,3
283,5062,54:36.7,14,1
284,2064,54:36.7,14,4
285,4047,54:36.7,14,3
286,2151,54:36.7,14,4
287,4391,54:36.7,14,1
288,1259,54:36.7,14,5
289,855,54:36.7,14,5
290,1745,54:36.7,14,2
291,4699,54:36.7,14,2
292,4914,54:36.7,14,5
293,400,54:36.7,14,3
294,373,54:36.7,14,1
295,1386,54:36.7,14,2
296,2011,54:36.7,14,1
297,4565,54:36.7,14,1
298,670,54:36.7,14,2
299,2882,54:36.7,14,4
300,3999,54:36.7,15,1
301,3967,54:36.7,15,2
302,2082,54:36.7,15,2
303,5768,54:36.7,15,3
304,1762,54:36.7,15,3
305,3067,54:36.7,15,3
306,2117,54:36.7,15,1
307,3529,54:36.7,15,4
308,1730,54:36.7,15,2
309,5143,54:36.7,15,5
310,4188,54:36.7,15,2
311,4806,54:36.7,15,3
312,2758,54:36.7,15,1
313,2300,54:36.7,15,3
314,2864,54:36.7,15,4
315,5372,54:36.7,15,3
316,4041,54:36.7,15,1
317,717,54:36.7,15,1
318,599,54:36.7,15,2
319,2889,54:36.7,15,4
320,3487,54:36.7,16,3
321,3474,54:36.7,16,5
322,862,54:36.7,16,3
323,2816,54:36.7,16,4
324,3158,54:36.7,16,2
325,23,54:36.7,16,2
326,3046,54:36.7,16,5
327,939,54:36.7,16,5
328,3777,54:36.7,16,2
329,4163,54:36.7,16,3
330,4471,54:36.7,16,5
331,2137,54:36.7,16,3
332,3565,54:36.7,16,1
333,5642,54:36.7,16,3
334,460,54:36.7,16,3
335,5077,54:36.7,16,2
336,2243,54:36.7,16,3
337,1662,54:36.7,16,2
338,3805,54:36.7,16,5
339,50,54:36.7,16,5
340,4617,54:36.7,17,2
341,2531,54:36.7,17,2
342,1558,54:36.7,17,2
343,2695,54:36.7,17,2
344,4794,54:36.7,17,1
345,2691,54:36.7,17,1
346,417,54:36.7,17,3
347,2247,54:36.7,17,5
348,2816,54:36.7,17,2
349,605,54:36.7,17,4
350,3276,54:36.7,17,1
351,4907,54:36.7,17,4
352,3878,54:36.7,17,1
353,4027,54:36.7,17,2
354,4998,54:36.7,17,3
355,2716,54:36.7,17,1
356,4410,54:36.7,17,5
357,4428,54:36.7,17,5
358,1555,54:36.7,17,3
359,2852,54:36.7,17,1
360,3632,54:36.7,18,1
361,1148,54:36.7,18,3
362,5800,54:36.7,18,3
363,4722,54:36.7,18,5
364,1126,54:36.7,18,5
365,4216,54:36.7,18,5
366,4242,54:36.7,18,5
367,533,54:36.7,18,3
368,4070,54:36.7,18,4
369,4759,54:36.7,18,3
370,2263,54:36.7,18,1
371,5413,54:36.7,18,3
372,2857,54:36.7,18,5
373,763,54:36.7,18,5
374,2751,54:36.7,18,2
375,5541,54:36.7,18,5
376,1495,54:36.7,18,1
377,1586,54:36.7,18,4
378,3448,54:36.7,18,3
379,1326,54:36.7,18,4
380,2825,54:36.7,19,3
381,3112,54:36.7,19,3
382,420,54:36.7,19,3
383,275,54:36.7,19,2
384,940,54:36.8,19,3
385,5509,54:36.8,19,1
386,5058,54:36.8,19,1
387,4994,54:36.8,19,1
388,3141,54:36.8,19,1
389,572,54:36.8,19,1
390,4920,54:36.8,19,1
391,3389,54:36.8,19,2
392,2826,54:36.8,19,5
393,2640,54:36.8,19,3
394,1722,54:36.8,19,5
395,583,54:36.8,19,3
396,629,54:36.8,19,2
397,4719,54:36.8,19,2
398,2893,54:36.8,19,1
399,1188,54:36.8,19,3
400,4825,54:36.8,20,1
401,4821,54:36.8,20,2
402,3064,54:36.8,20,5
403,1928,54:36.8,20,4
404,4247,54:36.8,20,1
405,114,54:36.8,20,3
406,5558,54:36.8,20,3
407,1830,54:36.8,20,3
408,3544,54:36.8,20,5
409,5595,54:36.8,20,4
410,3292,54:36.8,20,1
411,5140,54:36.8,20,1
412,2291,54:36.8,20,4
413,5810,54:36.8,20,5
414,3347,54:36.8,20,3
415,1326,54:36.8,20,4
416,2475,54:36.8,20,3
417,1726,54:36.8,20,2
418,3085,54:36.8,20,1
419,374,54:36.8,20,3
420,1198,54:36.8,21,1
421,5205,54:36.8,21,3
422,5298,54:36.8,21,2
423,1653,54:36.8,21,4
424,2249,54:36.8,21,4
425,3685,54:36.8,21,1
426,3301,54:36.8,21,1
427,188,54:36.8,21,5
428,2257,54:36.8,21,4
429,5233,54:36.8,21,2
430,338,54:36.8,21,2
431,1909,54:36.8,21,2
432,3478,54:36.8,21,2
433,5615,54:36.8,21,5
434,3487,54:36.8,21,4
435,3615,54:36.8,21,3
436,1754,54:36.8,21,4
437,4024,54:36.8,21,4
438,702,54:36.8,21,2
439,3883,54:36.8,21,4
440,1809,54:36.8,22,1
441,1905,54:36.8,22,2
442,1981,54:36.8,22,2
443,5685,54:36.8,22,4
444,54,54:36.8,22,2
445,1760,54:36.8,22,5
446,3877,54:36.8,22,5
447,4530,54:36.8,22,1
448,236,54:36.8,22,5
449,5599,54:36.8,22,2
450,931,54:36.8,22,2
451,367,54:36.8,22,2
452,3639,54:36.8,22,4
453,4113,54:36.8,22,1
454,4765,54:36.8,22,4
455,2375,54:36.8,22,4
456,2605,54:36.8,22,1
457,5751,54:36.8,22,1
458,4613,54:36.8,22,3
459,4626,54:36.8,22,4
460,4720,54:36.8,23,5
461,1413,54:36.8,23,4
462,916,54:36.8,23,1
463,5707,54:36.8,23,1
464,1097,54:36.8,23,3
465,1381,54:36.8,23,1
466,5167,54:36.8,23,1
467,1120,54:36.8,23,4
468,2350,54:36.8,23,4
469,5194,54:36.8,23,1
470,1191,54:36.8,23,4
471,681,54:36.8,23,5
472,863,54:36.8,23,5
473,793,54:36.8,23,5
474,504,54:36.8,23,1
475,3054,54:36.8,23,2
476,352,54:36.8,23,4
477,4468,54:36.8,23,5
478,5816,54:36.8,23,5
479,2841,54:36.8,23,1
480,998,54:36.8,24,2
481,890,54:36.8,24,5
482,3861,54:36.8,24,1
483,1154,54:36.8,24,1
484,3631,54:36.8,24,3
485,3053,54:36.8,24,5
486,479,54:36.8,24,3
487,1867,54:36.8,24,4
488,3995,54:36.8,24,3
489,368,54:36.8,24,4
490,2255,54:36.8,24,5
491,666,54:36.8,24,4
492,3240,54:36.8,24,4
493,2643,54:36.8,24,2
494,4387,54:36.8,24,2
495,4803,54:36.8,24,1
496,613,54:36.8,24,2
497,3305,54:36.8,24,2
498,461,54:36.8,24,1
499,5045,54:36.8,24,5
500,1236,54:36.8,25,3
501,4382,54:36.8,25,5
502,4772,54:36.8,25,2
503,1318,54:36.8,25,1
504,1177,54:36.8,25,4
505,3513,54:36.8,25,4
506,4923,54:36.8,25,3
507,1510,54:36.8,25,5
508,4587,54:36.8,25,1
509,4132,54:36.8,25,5
510,5232,54:36.8,25,2
511,3432,54:36.8,25,4
512,2737,54:36.8,25,3
513,5271,54:36.8,25,4
514,387,54:36.8,25,1
515,2433,54:36.8,25,3
516,4437,54:36.8,25,1
517,3810,54:36.8,25,2
518,547,54:36.8,25,4
519,3770,54:36.8,25,3
520,1933,54:36.8,26,3
521,3781,54:36.8,26,2
522,3742,54:36.8,26,3
523,1095,54:36.8,26,4
524,4090,54:36.8,26,1
525,1435,54:36.8,26,2
526,4757,54:36.8,26,1
527,1744,54:36.8,26,3
528,761,54:36.8,26,1
529,5493,54:36.8,26,1
530,5059,54:36.8,26,4
531,3241,54:36.8,26,2
532,1768,54:36.8,26,2
533,2344,54:36.8,26,2
534,2855,54:36.8,26,4
535,3565,54:36.8,26,5
536,1342,54:36.8,26,4
537,3320,54:36.8,26,1
538,2065,54:36.8,26,4
539,5356,54:36.8,26,2
540,4379,54:36.8,27,4
541,4558,54:36.8,27,2
542,2698,54:36.8,27,2
543,3148,54:36.8,27,2
544,4185,54:36.8,27,1
545,3049,54:36.8,27,4
546,3664,54:36.8,27,2
547,3577,54:36.8,27,3
548,3784,54:36.8,27,1
549,805,54:36.8,27,2
550,2800,54:36.8,27,1
551,3999,54:36.8,27,4
552,652,54:36.8,27,5
553,2201,54:36.8,27,2
554,1081,54:36.8,27,1
555,4199,54:36.8,27,5
556,3578,54:36.8,27,1
557,5356,54:36.8,27,3
558,3636,54:36.8,27,2
559,4309,54:36.8,27,1
560,191,54:36.8,28,1
561,2292,54:36.8,28,4
562,3665,54:36.8,28,3
563,1626,54:36.8,28,1
564,4229,54:36.8,28,4
565,3994,54:36.8,28,3
566,3159,54:36.8,28,5
567,5470,54:36.8,28,1
568,1935,54:36.8,28,3
569,1822,54:36.8,28,3
570,5006,54:36.8,28,2
571,229,54:36.8,28,5
572,3502,54:36.8,28,1
573,4248,54:36.8,28,3
574,5410,54:36.8,28,3
575,2969,54:36.8,28,3
576,4695,54:36.8,28,4
577,4620,54:36.8,28,3
578,1723,54:36.8,28,2
579,483,54:36.8,28,5
580,2886,54:36.8,29,3
581,4828,54:36.8,29,1
582,2263,54:36.8,29,4
583,4157,54:36.8,29,3
584,5188,54:36.8,29,1
585,1589,54:36.8,29,1
586,1788,54:36.8,29,3
587,5230,54:36.8,29,3
588,1169,54:36.8,29,3
589,2542,54:36.8,29,5
590,5037,54:36.8,29,1
591,3902,54:36.8,29,3
592,796,54:36.8,29,3
593,966,54:36.8,29,1
594,3389,54:36.8,29,5
595,1957,54:36.8,29,3
596,2987,54:36.8,29,3
597,2367,54:36.8,29,4
598,1654,54:36.8,29,5
599,1781,54:36.8,29,2
600,396,54:36.8,30,1
601,761,54:36.8,30,5
602,236,54:36.8,30,4
603,2033,54:36.8,30,1
604,1311,54:36.8,30,2
605,3999,54:36.8,30,1
606,1720,54:36.8,30,5
607,1961,54:36.8,30,1
608,2748,54:36.8,30,2
609,4582,54:36.8,30,2
610,5006,54:36.8,30,3
611,1613,54:36.8,30,5
612,3031,54:36.8,30,4
613,4243,54:36.8,30,4
614,5678,54:36.8,30,4
615,14,54:36.8,30,5
616,576,54:36.8,30,5
617,1078,54:36.8,30,4
618,4649,54:36.8,30,5
619,699,54:36.8,30,2
620,4290,54:36.8,31,4
621,857,54:36.8,31,5
622,5252,54:36.8,31,3
623,622,54:36.8,31,5
624,5113,54:36.8,31,3
625,1648,54:36.8,31,5
626,1991,54:36.8,31,2
627,3178,54:36.8,31,4
628,3410,54:36.8,31,5
629,790,54:36.8,31,2
630,1496,54:36.8,31,5
631,5385,54:36.8,31,4
632,4003,54:36.8,31,1
633,690,54:36.8,31,4
634,2412,54:36.8,31,3
635,834,54:36.8,31,2
636,1828,54:36.8,31,3
637,2564,54:36.8,31,1
638,1486,54:36.8,31,3
639,12,54:36.8,31,5
640,585,54:36.8,32,3
641,762,54:36.8,32,5
642,2691,54:36.8,32,5
643,5118,54:36.8,32,4
644,226,54:36.8,32,5
645,4904,54:36.8,32,3
646,1266,54:36.8,32,2
647,2817,54:36.8,32,1
648,610,54:36.8,32,1
649,1468,54:36.8,32,3
650,413,54:36.8,32,3
651,526,54:36.8,32,5
652,5130,54:36.8,32,5
653,4863,54:36.8,32,2
654,1751,54:36.8,32,3
655,3456,54:36.8,32,2
656,2529,54:36.8,32,3
657,3266,54:36.8,32,1
658,5289,54:36.8,32,5
659,3756,54:36.8,32,5
660,417,54:36.8,33,2
661,2676,54:36.8,33,1
662,320,54:36.8,33,5
663,1487,54:36.8,33,2
664,2882,54:36.8,33,3
665,2928,54:36.8,33,2
666,6,54:36.8,33,4
667,4729,54:36.8,33,5
668,1627,54:36.8,33,1
669,5395,54:36.8,33,5
670,4256,54:36.8,33,3
671,3492,54:36.8,33,2
672,4601,54:36.8,33,3
673,3456,54:36.8,33,1
674,2874,54:36.8,33,3
675,4033,54:36.8,33,4
676,2940,54:36.8,33,1
677,186,54:36.8,33,2
678,777,54:36.8,33,5
679,2207,54:36.8,33,3
680,621,54:36.8,34,5
681,4227,54:36.8,34,2
682,5228,54:36.8,34,4
683,5566,54:36.8,34,1
684,4409,54:36.8,34,3
685,459,54:36.8,34,3
686,3890,54:36.8,34,2
687,2461,54:36.8,34,1
688,4849,54:36.8,34,3
689,1934,54:36.8,34,1
690,4636,54:36.8,34,1
691,5006,54:36.8,34,2
692,2881,54:36.8,34,4
693,2104,54:36.8,34,1
694,2525,54:36.8,34,2
695,520,54:36.8,34,1
696,4321,54:36.8,34,4
697,4190,54:36.8,34,5
698,176,54:36.8,34,1
699,1192,54:36.8,34,5
700,1026,54:36.8,35,1
701,1990,54:36.8,35,1
702,2108,54:36.8,35,4
703,2320,54:36.8,35,4
704,5717,54:36.8,35,4
705,3676,54:36.8,35,4
706,1244,54:36.8,35,2
707,4767,54:36.8,35,1
708,4416,54:36.8,35,3
709,1424,54:36.8,35,4
710,371,54:36.9,35,3
711,1436,54:36.9,35,2
712,3216,54:36.9,35,5
713,4156,54:36.9,35,4
714,3088,54:36.9,35,5
715,3400,54:36.9,35,3
716,3604,54:36.9,35,4
717,4667,54:36.9,35,4
718,1600,54:36.9,35,4
719,3301,54:36.9,35,2
720,3704,54:36.9,36,3
721,5032,54:36.9,36,3
722,350,54:36.9,36,1
723,1434,54:36.9,36,1
724,2450,54:36.9,36,3
725,613,54:36.9,36,1
726,3300,54:36.9,36,3
727,4821,54:36.9,36,1
728,2781,54:36.9,36,1
729,5481,54:36.9,36,1
730,1918,54:36.9,36,4
731,1,54:36.9,36,1
732,5439,54:36.9,36,5
733,800,54:36.9,36,5
734,3518,54:36.9,36,5
735,5487,54:36.9,36,5
736,3498,54:36.9,36,5
737,4213,54:36.9,36,1
738,5570,54:36.9,36,4
739,3292,54:36.9,36,4
740,577,54:36.9,37,1
741,5126,54:36.9,37,4
742,3034,54:36.9,37,5
743,778,54:36.9,37,4
744,111,54:36.9,37,3
745,5274,54:36.9,37,3
746,3576,54:36.9,37,4
747,3906,54:36.9,37,4
748,3939,54:36.9,37,3
749,2086,54:36.9,37,4
750,3245,54:36.9,37,4
751,5151,54:36.9,37,2
752,2737,54:36.9,37,4
753,2425,54:36.9,37,2
754,3988,54:36.9,37,5
755,1928,54:36.9,37,3
756,4113,54:36.9,37,1
757,1619,54:36.9,37,2
758,2501,54:36.9,37,2
759,1046,54:36.9,37,1
760,1842,54:36.9,38,2
761,628,54:36.9,38,4
762,3442,54:36.9,38,4
763,5124,54:36.9,38,3
764,4973,54:36.9,38,2
765,3096,54:36.9,38,3
766,1144,54:36.9,38,4
767,5111,54:36.9,38,3
768,15,54:36.9,38,5
769,3427,54:36.9,38,1
770,5020,54:36.9,38,5
771,1151,54:36.9,38,2
772,2465,54:36.9,38,2
773,5727,54:36.9,38,5
774,1949,54:36.9,38,3
775,4789,54:36.9,38,2
776,1796,54:36.9,38,5
777,3509,54:36.9,38,1
778,5010,54:36.9,38,5
779,1410,54:36.9,38,2
780,3499,54:36.9,39,4
781,4962,54:36.9,39,2
782,1602,54:36.9,39,3
783,876,54:36.9,39,4
784,2982,54:36.9,39,2
785,4178,54:36.9,39,5
786,1762,54:36.9,39,1
787,1321,54:36.9,39,3
788,291,54:36.9,39,1
789,2606,54:36.9,39,1
790,3385,54:36.9,39,2
791,366,54:36.9,39,4
792,3252,54:36.9,39,1
793,684,54:36.9,39,3
794,4748,54:36.9,39,4
795,390,54:36.9,39,3
796,855,54:36.9,39,2
797,4505,54:36.9,39,3
798,1123,54:36.9,39,5
799,4296,54:36.9,39,3
800,4674,54:36.9,40,5
801,5515,54:36.9,40,3
802,4726,54:36.9,40,4
803,4873,54:36.9,40,2
804,3965,54:36.9,40,4
805,1243,54:36.9,40,4
806,5342,54:36.9,40,1
807,116,54:36.9,40,1
808,5383,54:36.9,40,3
809,3923,54:36.9,40,3
810,1464,54:36.9,40,2
811,2250,54:36.9,40,3
812,1269,54:36.9,40,2
813,2154,54:36.9,40,4
814,1240,54:36.9,40,2
815,1800,54:36.9,40,5
816,5492,54:36.9,40,1
817,2965,54:36.9,40,1
818,5335,54:36.9,40,2
819,2825,54:36.9,40,1
820,2793,54:36.9,41,4
821,1594,54:36.9,41,5
822,1030,54:36.9,41,5
823,1779,54:36.9,41,1
824,4786,54:36.9,41,2
825,5821,54:36.9,41,3
826,3786,54:36.9,41,4
827,2907,54:36.9,41,2
828,294,54:36.9,41,3
829,352,54:36.9,41,5
830,4943,54:36.9,41,5
831,5302,54:36.9,41,1
832,4949,54:36.9,41,3
833,293,54:36.9,41,4
834,1005,54:36.9,41,4
835,652,54:36.9,41,1
836,5080,54:36.9,41,5
837,3936,54:36.9,41,2
838,3230,54:36.9,41,2
839,698,54:36.9,41,1
840,229,54:36.9,42,5
841,1522,54:36.9,42,1
842,3319,54:36.9,42,4
843,4337,54:36.9,42,2
844,459,54:36.9,42,2
845,978,54:36.9,42,5
846,5495,54:36.9,42,1
847,4774,54:36.9,42,5
848,4344,54:36.9,42,1
849,3526,54:36.9,42,2
850,2481,54:36.9,42,2
851,3157,54:36.9,42,4
852,3864,54:36.9,42,4
853,691,54:36.9,42,1
854,1496,54:36.9,42,3
855,3071,54:36.9,42,3
856,4344,54:36.9,42,1
857,4569,54:36.9,42,1
858,5202,54:36.9,42,3
859,4142,54:36.9,42,3
860,5695,54:36.9,43,3
861,2487,54:36.9,43,3
862,427,54:36.9,43,5
863,440,54:36.9,43,4
864,5274,54:36.9,43,1
865,5257,54:36.9,43,1
866,2421,54:36.9,43,4
867,588,54:36.9,43,2
868,1427,54:36.9,43,2
869,850,54:36.9,43,1
870,4559,54:36.9,43,3
871,2976,54:36.9,43,4
872,2977,54:36.9,43,4
873,1336,54:36.9,43,5
874,1832,54:36.9,43,4
875,4014,54:36.9,43,1
876,4669,54:36.9,43,3
877,2389,54:36.9,43,1
878,2231,54:36.9,43,4
879,535,54:36.9,43,1
880,3151,54:36.9,44,5
881,1447,54:36.9,44,5
882,194,54:36.9,44,4
883,5018,54:36.9,44,5
884,1636,54:36.9,44,3
885,99,54:36.9,44,5
886,4963,54:36.9,44,5
887,570,54:36.9,44,5
888,475,54:36.9,44,2
889,1556,54:36.9,44,1
890,1144,54:36.9,44,5
891,2846,54:36.9,44,4
892,4490,54:36.9,44,1
893,1023,54:36.9,44,1
894,4679,54:36.9,44,1
895,3001,54:36.9,44,5
896,5414,54:36.9,44,5
897,5812,54:36.9,44,5
898,1364,54:36.9,44,1
899,2292,54:36.9,44,3
900,5166,54:36.9,45,1
901,4953,54:36.9,45,3
902,5581,54:36.9,45,1
903,4629,54:36.9,45,3
904,3592,54:36.9,45,3
905,1283,54:36.9,45,5
906,5673,54:36.9,45,5
907,1952,54:36.9,45,3
908,3969,54:36.9,45,5
909,1912,54:36.9,45,5
910,3312,54:36.9,45,1
911,782,54:36.9,45,2
912,4775,54:36.9,45,3
913,1125,54:36.9,45,4
914,5096,54:36.9,45,5
915,190,54:36.9,45,1
916,110,54:36.9,45,5
917,1587,54:36.9,45,2
918,5526,54:36.9,45,1
919,2711,54:36.9,45,1
920,1740,54:36.9,46,5
921,539,54:36.9,46,1
922,2767,54:36.9,46,1
923,57,54:36.9,46,3
924,3157,54:36.9,46,1
925,314,54:36.9,46,3
926,4660,54:36.9,46,3
927,4200,54:36.9,46,1
928,1419,54:36.9,46,3
929,3311,54:36.9,46,2
930,1873,54:36.9,46,4
931,2855,54:36.9,46,3
932,788,54:36.9,46,5
933,1426,54:36.9,46,4
934,3814,54:36.9,46,1
935,1795,54:36.9,46,3
936,1950,54:36.9,46,1
937,3324,54:36.9,46,5
938,2822,54:36.9,46,2
939,2855,54:36.9,46,3
940,2552,54:36.9,47,5
941,3254,54:36.9,47,1
